site,year,fuel,PJ
Ardagh Glass - Headlands,2030,gas,0.84
Ardagh Glass - Headlands,2031,biomass,0.0001
Ardagh Glass - Headlands,2031,gas,0.8372
Ardagh Glass - Headlands,2032,biomass,0.0001
Ardagh Glass - Headlands,2032,gas,0.8344
Ardagh Glass - Headlands,2033,biomass,0.0001
Ardagh Glass - Headlands,2033,gas,0.8316
Ardagh Glass - Headlands,2034,biomass,0.0001
Ardagh Glass - Headlands,2034,gas,0.8288
Ardagh Glass - Headlands,2035,biomass,0.0001
Ardagh Glass - Headlands,2035,gas,0.826
Ardagh Glass - Headlands,2036,biomass,0.0001
Ardagh Glass - Headlands,2036,gas,0.8232
Ardagh Glass - Wheatley,2026,gas,2.1827
Ardagh Glass - Wheatley,2027,gas,2.1827
Ardagh Glass - Wheatley,2028,gas,2.1827
Ardagh Glass - Wheatley,2029,gas,2.1827
Ardagh Glass - Wheatley,2030,gas,2.1827
Ardagh Glass - Wheatley,2031,gas,2.1754
Ardagh Glass - Wheatley,2032,gas,2.1682
Ardagh Glass - Wheatley,2033,gas,2.1609
Ardagh Glass - Wheatley,2034,gas,2.1536
Ardagh Glass - Wheatley,2035,gas,2.1463
Ardagh Glass - Wheatley,2036,gas,2.139
Ardagh Glass Limited,2026,biomass,0.0
Ardagh Glass Limited,2026,gas,1.3061
Ardagh Glass Limited,2027,biomass,0.0
Ardagh Glass Limited,2027,gas,1.3061
Ardagh Glass Limited,2028,biomass,0.0
Ardagh Glass Limited,2028,gas,1.3061
Ardagh Glass Limited,2029,biomass,0.0
Ardagh Glass Limited,2029,gas,1.3061
Ardagh Glass Limited,2030,biomass,0.0
Ardagh Glass Limited,2030,gas,1.3061
Ardagh Glass Limited,2031,biomass,0.0
Ardagh Glass Limited,2031,gas,1.3017
Ardagh Glass Limited,2032,biomass,0.0
Ardagh Glass Limited,2032,gas,1.2974
Ardagh Glass Limited,2033,biomass,0.0
Ardagh Glass Limited,2033,gas,1.293
Ardagh Glass Limited,2034,biomass,0.0
Ardagh Glass Limited,2034,gas,1.2887
Ardagh Glass Limited,2035,biomass,0.0
Ardagh Glass Limited,2035,gas,1.2843
Ardagh Glass Limited,2036,biomass,0.0
Ardagh Glass Limited,2036,gas,1.28
Ardagh Glass Ltd,2026,biomass,0.0001
