year,cement,heat,steel,total,biomass,electricity,gas
2026,4.4739563568000005,20.38007227392,3.5721837759999997,28.42621240672,0.0015812000000001401,0.0,426.22514309999997
2027,4.5942240008,20.272091473919996,3.4762411360383996,28.342556610758397,0.0015812000000001401,0.8154308799999993,424.49636374999994
2028,4.471664723031999,20.272091473919996,0.8257953269439997,25.569551523895996,0.0015812000000001401,10.241387199999998,420.24684179999997
2029,4.358172624632,20.272091473919996,0.5946248775999998,25.224888976152,0.0015812000000001401,10.483659999999999,420.92930655
2030,4.213106402232,20.272091473920003,0.5562546820000001,25.041452558152002,0.0015812000000001401,10.48366,421.78409204999997
2031,4.06262474976,20.212701389824016,0.5386421332,24.813968272784017,0.0015812000000001401,10.483659999999999,420.8919825200003
2032,3.9105181498080004,20.153311305728014,0.5210295843999999,24.584859039936017,0.0015812000000001401,10.483659999999997,419.82375874000024
2033,3.7584115498560005,20.093921221631998,0.5034170355999998,24.355749807087996,0.0015812000000001401,10.483659999999997,418.7555349599999
2034,3.583958550000001,20.03453113753601,0.48580448679999993,24.10429417433601,0.0015812000000001401,10.483659999999999,417.70078878000015
2035,3.302091750000001,19.97514105344,0.4681919379999999,23.745424741440004,0.0015812000000001401,10.483659999999997,416.7108262
2036,3.302091750000001,19.915750969343996,0.46242592499999996,23.680268644344,0.0015812000000001401,10.483659999999999,415.55086361999986
