site,tech,year,units
Fife Ethylene Plant,gas_boiler,2034,10.8189
Fife Ethylene Plant,gas_boiler,2035,10.7823
Fife Ethylene Plant,gas_boiler,2036,10.7458
Cauldon Cement,cement_kiln,2026,0.7421
Cauldon Cement,cement_kiln,2027,0.7621
Cauldon Cement,cement_kiln,2028,0.7448
Cauldon Cement,cement_kiln,2029,0.7182
Cauldon Cement,cement_kiln,2030,0.6916
Cauldon Cement,cement_kiln,2031,0.665
Cauldon Cement,cement_kiln,2032,0.6384
Cauldon Cement,cement_kiln,2033,0.6118
Cauldon Cement,cement_kiln,2034,0.5852
Cauldon Cement,cement_kiln,2035,0.532
Cauldon Cement,cement_kiln,2036,0.532
Cauldon Cement,cement_kiln_ccs,2028,0.0372
Cauldon Cement,cement_kiln_ccs,2029,0.0917
Cauldon Cement,cement_kiln_ccs,2030,0.1329
Cauldon Cement,cement_kiln_ccs,2031,0.1729
Cauldon Cement,cement_kiln_ccs,2032,0.1995
Cauldon Cement,cement_kiln_ccs,2033,0.2261
Cauldon Cement,cement_kiln_ccs,2034,0.2527
Cauldon Cement,cement_kiln_ccs,2035,0.3059
Cauldon Cement,cement_kiln_ccs,2036,0.3059
Fawley Refinery,gas_boiler,2026,9.936
Fawley Refinery,gas_boiler,2027,9.936
Fawley Refinery,gas_boiler,2028,9.936
Fawley Refinery,gas_boiler,2029,9.936
Fawley Refinery,gas_boiler,2030,9.936
Fawley Refinery,gas_boiler,2031,9.9029
Fawley Refinery,gas_boiler,2032,9.8698
Fawley Refinery,gas_boiler,2033,9.8366
Fawley Refinery,gas_boiler,2034,9.8035
Fawley Refinery,gas_boiler,2035,9.7704
Fawley Refinery,gas_boiler,2036,9.7373
Tunstead Cement,cement_kiln,2026,0.6648
Tunstead Cement,cement_kiln,2027,0.6826
Tunstead Cement,cement_kiln,2028,0.6672
Tunstead Cement,cement_kiln,2029,0.6434
Tunstead Cement,cement_kiln,2030,0.6196
Tunstead Cement,cement_kiln,2031,0.5957
Tunstead Cement,cement_kiln,2032,0.5719
Tunstead Cement,cement_kiln,2033,0.5481
Tunstead Cement,cement_kiln,2034,0.5242
Tunstead Cement,cement_kiln,2035,0.4766
Tunstead Cement,cement_kiln,2036,0.4766
Tunstead Cement,cement_kiln_ccs,2028,0.0333
Tunstead Cement,cement_kiln_ccs,2029,0.0821
Tunstead Cement,cement_kiln_ccs,2030,0.131
Tunstead Cement,cement_kiln_ccs,2031,0.1548
Tunstead Cement,cement_kiln_ccs,2032,0.1786
