site,tech,year,units
Kronospan Ltd,gas_boiler,2036,2.404
Sellafield Site,gas_boiler,2026,2.3511
Sellafield Site,gas_boiler,2027,2.3511
Sellafield Site,gas_boiler,2028,2.3511
Sellafield Site,gas_boiler,2029,2.3511
Sellafield Site,gas_boiler,2030,2.3511
Sellafield Site,gas_boiler,2031,2.3433
Sellafield Site,gas_boiler,2032,2.3354
Sellafield Site,gas_boiler,2033,2.3276
Sellafield Site,gas_boiler,2034,2.3198
Sellafield Site,gas_boiler,2035,2.3119
Sellafield Site,gas_boiler,2036,2.3041
Dow Silicone Manufacturing Installation,gas_boiler,2026,2.3092
Dow Silicone Manufacturing Installation,gas_boiler,2027,2.3092
Dow Silicone Manufacturing Installation,gas_boiler,2028,2.3092
Dow Silicone Manufacturing Installation,gas_boiler,2029,2.3092
Dow Silicone Manufacturing Installation,gas_boiler,2030,2.3092
Dow Silicone Manufacturing Installation,gas_boiler,2031,2.3015
Dow Silicone Manufacturing Installation,gas_boiler,2032,2.2938
Dow Silicone Manufacturing Installation,gas_boiler,2033,2.2861
Dow Silicone Manufacturing Installation,gas_boiler,2034,2.2784
Dow Silicone Manufacturing Installation,gas_boiler,2035,2.2707
Dow Silicone Manufacturing Installation,gas_boiler,2036,2.263
Pilkington United Kingdom Limited - Greengate,gas_boiler,2026,2.309
Pilkington United Kingdom Limited - Greengate,gas_boiler,2027,2.309
Pilkington United Kingdom Limited - Greengate,gas_boiler,2028,2.309
Pilkington United Kingdom Limited - Greengate,gas_boiler,2029,2.309
Pilkington United Kingdom Limited - Greengate,gas_boiler,2030,2.309
Pilkington United Kingdom Limited - Greengate,gas_boiler,2031,2.3013
Pilkington United Kingdom Limited - Greengate,gas_boiler,2032,2.2936
Pilkington United Kingdom Limited - Greengate,gas_boiler,2033,2.2859
Pilkington United Kingdom Limited - Greengate,gas_boiler,2034,2.2782
Pilkington United Kingdom Limited - Greengate,gas_boiler,2035,2.2705
Pilkington United Kingdom Limited - Greengate,gas_boiler,2036,2.2628
Tronox Pigment - CHP Plant,gas_boiler,2026,2.2595
Tronox Pigment - CHP Plant,gas_boiler,2027,2.2595
Tronox Pigment - CHP Plant,gas_boiler,2028,2.2595
Tronox Pigment - CHP Plant,gas_boiler,2029,2.2595
Tronox Pigment - CHP Plant,gas_boiler,2030,2.2595
Tronox Pigment - CHP Plant,gas_boiler,2031,2.252
Tronox Pigment - CHP Plant,gas_boiler,2032,2.2444
Tronox Pigment - CHP Plant,gas_boiler,2033,2.2369
Tronox Pigment - CHP Plant,gas_boiler,2034,2.2294
Tronox Pigment - CHP Plant,gas_boiler,2035,2.2218
Tronox Pigment - CHP Plant,gas_boiler,2036,2.2143
Ardagh Glass Ltd,biomass_boiler,2026,0.0001
Ardagh Glass Ltd,biomass_boiler,2027,0.0001
Ardagh Glass Ltd,biomass_boiler,2028,0.0001
Ardagh Glass Ltd,biomass_boiler,2029,0.0001
Ardagh Glass Ltd,biomass_boiler,2030,0.0001
Ardagh Glass Ltd,biomass_boiler,2031,0.0001
Ardagh Glass Ltd,biomass_boiler,2032,0.0001
Ardagh Glass Ltd,biomass_boiler,2033,0.0001
Ardagh Glass Ltd,biomass_boiler,2034,0.0001
Ardagh Glass Ltd,biomass_boiler,2035,0.0001
Ardagh Glass Ltd,biomass_boiler,2036,0.0001
Ardagh Glass Ltd,gas_boiler,2026,2.0974
Ardagh Glass Ltd,gas_boiler,2027,2.0974
Ardagh Glass Ltd,gas_boiler,2028,2.0974
Ardagh Glass Ltd,gas_boiler,2029,2.0974
Ardagh Glass Ltd,gas_boiler,2030,2.0974
Ardagh Glass Ltd,gas_boiler,2031,2.0905
Ardagh Glass Ltd,gas_boiler,2032,2.0835
Ardagh Glass Ltd,gas_boiler,2033,2.0765
Ardagh Glass Ltd,gas_boiler,2034,2.0695
Ardagh Glass Ltd,gas_boiler,2035,2.0625
Ardagh Glass Ltd,gas_boiler,2036,2.0555
Shell UK Limited Fife NGL Plant,biomass_boiler,2026,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2027,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2028,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2029,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2030,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2031,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2032,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2033,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2034,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2035,0.0
Shell UK Limited Fife NGL Plant,biomass_boiler,2036,0.0
Shell UK Limited Fife NGL Plant,gas_boiler,2026,2.0838
Shell UK Limited Fife NGL Plant,gas_boiler,2027,2.0838
Shell UK Limited Fife NGL Plant,gas_boiler,2028,2.0838
Shell UK Limited Fife NGL Plant,gas_boiler,2029,2.0838
Shell UK Limited Fife NGL Plant,gas_boiler,2030,2.0838
Shell UK Limited Fife NGL Plant,gas_boiler,2031,2.0768
Shell UK Limited Fife NGL Plant,gas_boiler,2032,2.0699
Shell UK Limited Fife NGL Plant,gas_boiler,2033,2.0629
Shell UK Limited Fife NGL Plant,gas_boiler,2034,2.056
Shell UK Limited Fife NGL Plant,gas_boiler,2035,2.049
Shell UK Limited Fife NGL Plant,gas_boiler,2036,2.0421
Cargill - Trafford Park,gas_boiler,2026,2.0488
Cargill - Trafford Park,gas_boiler,2027,2.0488
Cargill - Trafford Park,gas_boiler,2028,2.0488
Cargill - Trafford Park,gas_boiler,2029,2.0488
Cargill - Trafford Park,gas_boiler,2030,2.0488
Cargill - Trafford Park,gas_boiler,2031,2.042
Cargill - Trafford Park,gas_boiler,2032,2.0351
Cargill - Trafford Park,gas_boiler,2033,2.0283
Cargill - Trafford Park,gas_boiler,2034,2.0215
Cargill - Trafford Park,gas_boiler,2035,2.0147
Cargill - Trafford Park,gas_boiler,2036,2.0078
Ardagh Glass - Wheatley,gas_boiler,2026,1.9664
Ardagh Glass - Wheatley,gas_boiler,2027,1.9664
Ardagh Glass - Wheatley,gas_boiler,2028,1.9664
Ardagh Glass - Wheatley,gas_boiler,2029,1.9664
Ardagh Glass - Wheatley,gas_boiler,2030,1.9664
Ardagh Glass - Wheatley,gas_boiler,2031,1.9598
Ardagh Glass - Wheatley,gas_boiler,2032,1.9533
Ardagh Glass - Wheatley,gas_boiler,2033,1.9467
Ardagh Glass - Wheatley,gas_boiler,2034,1.9402
Ardagh Glass - Wheatley,gas_boiler,2035,1.9336
Ardagh Glass - Wheatley,gas_boiler,2036,1.9271
Ineos Acetyls Hull,biomass_boiler,2026,0.0001
Ineos Acetyls Hull,biomass_boiler,2027,0.0001
Ineos Acetyls Hull,biomass_boiler,2028,0.0001
Ineos Acetyls Hull,biomass_boiler,2029,0.0001
Ineos Acetyls Hull,biomass_boiler,2030,0.0001
Ineos Acetyls Hull,biomass_boiler,2031,0.0001
Ineos Acetyls Hull,biomass_boiler,2032,0.0001
Ineos Acetyls Hull,biomass_boiler,2033,0.0001
Ineos Acetyls Hull,biomass_boiler,2034,0.0001
Ineos Acetyls Hull,biomass_boiler,2035,0.0001
Ineos Acetyls Hull,biomass_boiler,2036,0.0001
Ineos Acetyls Hull,gas_boiler,2026,1.8977
Ineos Acetyls Hull,gas_boiler,2027,1.8977
Ineos Acetyls Hull,gas_boiler,2028,1.8977
Ineos Acetyls Hull,gas_boiler,2029,1.8977
Ineos Acetyls Hull,gas_boiler,2030,1.8977
Ineos Acetyls Hull,gas_boiler,2031,1.8914
Ineos Acetyls Hull,gas_boiler,2032,1.8851
Ineos Acetyls Hull,gas_boiler,2033,1.8788
Ineos Acetyls Hull,gas_boiler,2034,1.8724
Ineos Acetyls Hull,gas_boiler,2035,1.8661
Ineos Acetyls Hull,gas_boiler,2036,1.8598
Selby Wheat Processing Facility,gas_boiler,2026,1.8497
Selby Wheat Processing Facility,gas_boiler,2027,1.8497
Selby Wheat Processing Facility,gas_boiler,2028,1.8497
Selby Wheat Processing Facility,gas_boiler,2029,1.8497
Selby Wheat Processing Facility,gas_boiler,2030,1.8497
Selby Wheat Processing Facility,gas_boiler,2031,1.8435
Selby Wheat Processing Facility,gas_boiler,2032,1.8374
Selby Wheat Processing Facility,gas_boiler,2033,1.8312
Selby Wheat Processing Facility,gas_boiler,2034,1.825
Selby Wheat Processing Facility,gas_boiler,2035,1.8189
Selby Wheat Processing Facility,gas_boiler,2036,1.8127
Guardian Industries UK Limited,biomass_boiler,2026,0.0
Guardian Industries UK Limited,biomass_boiler,2027,0.0
Guardian Industries UK Limited,biomass_boiler,2028,0.0
Guardian Industries UK Limited,biomass_boiler,2029,0.0
Guardian Industries UK Limited,biomass_boiler,2030,0.0
Guardian Industries UK Limited,biomass_boiler,2031,0.0
Guardian Industries UK Limited,biomass_boiler,2032,0.0
Guardian Industries UK Limited,biomass_boiler,2033,0.0
Guardian Industries UK Limited,biomass_boiler,2034,0.0
Guardian Industries UK Limited,biomass_boiler,2035,0.0
Guardian Industries UK Limited,biomass_boiler,2036,0.0
Guardian Industries UK Limited,gas_boiler,2026,1.7048
Guardian Industries UK Limited,gas_boiler,2027,1.7048
Guardian Industries UK Limited,gas_boiler,2028,1.7048
Guardian Industries UK Limited,gas_boiler,2029,1.7048
Guardian Industries UK Limited,gas_boiler,2030,1.7048
Guardian Industries UK Limited,gas_boiler,2031,1.6991
Guardian Industries UK Limited,gas_boiler,2032,1.6934
Guardian Industries UK Limited,gas_boiler,2033,1.6877
Guardian Industries UK Limited,gas_boiler,2034,1.682
Guardian Industries UK Limited,gas_boiler,2035,1.6764
Guardian Industries UK Limited,gas_boiler,2036,1.6707
British Sugar plc - Newark,biomass_boiler,2026,0.0001
British Sugar plc - Newark,biomass_boiler,2027,0.0001
British Sugar plc - Newark,biomass_boiler,2028,0.0001
British Sugar plc - Newark,biomass_boiler,2029,0.0001
British Sugar plc - Newark,biomass_boiler,2030,0.0001
British Sugar plc - Newark,biomass_boiler,2031,0.0001
British Sugar plc - Newark,biomass_boiler,2032,0.0001
British Sugar plc - Newark,biomass_boiler,2033,0.0001
British Sugar plc - Newark,biomass_boiler,2034,0.0001
British Sugar plc - Newark,biomass_boiler,2035,0.0001
British Sugar plc - Newark,biomass_boiler,2036,0.0001
British Sugar plc - Newark,gas_boiler,2026,1.6404
British Sugar plc - Newark,gas_boiler,2027,1.6404
British Sugar plc - Newark,gas_boiler,2028,1.6404
British Sugar plc - Newark,gas_boiler,2029,1.6404
British Sugar plc - Newark,gas_boiler,2030,1.6404
British Sugar plc - Newark,gas_boiler,2031,1.635
British Sugar plc - Newark,gas_boiler,2032,1.6295
British Sugar plc - Newark,gas_boiler,2033,1.624
British Sugar plc - Newark,gas_boiler,2034,1.6186
British Sugar plc - Newark,gas_boiler,2035,1.6131
British Sugar plc - Newark,gas_boiler,2036,1.6076
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2026,1.6376
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2027,1.6376
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2028,1.6376
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2029,1.6376
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2030,1.6376
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2031,1.6321
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2032,1.6267
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2033,1.6212
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2034,1.6158
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2035,1.6103
Saint-Gobain Glass (United Kingdom) Limited,gas_boiler,2036,1.6048
Tate and Lyle Sugars,gas_boiler,2026,1.5719
Tate and Lyle Sugars,gas_boiler,2027,1.5719
Tate and Lyle Sugars,gas_boiler,2028,1.5719
Tate and Lyle Sugars,gas_boiler,2029,1.5719
Tate and Lyle Sugars,gas_boiler,2030,1.5719
Tate and Lyle Sugars,gas_boiler,2031,1.5667
Tate and Lyle Sugars,gas_boiler,2032,1.5614
Tate and Lyle Sugars,gas_boiler,2033,1.5562
Tate and Lyle Sugars,gas_boiler,2034,1.5509
Tate and Lyle Sugars,gas_boiler,2035,1.5457
Tate and Lyle Sugars,gas_boiler,2036,1.5405
Rolls-Royce - Sinfin,gas_boiler,2026,1.458
Rolls-Royce - Sinfin,gas_boiler,2027,1.458
Rolls-Royce - Sinfin,gas_boiler,2028,1.458
Rolls-Royce - Sinfin,gas_boiler,2029,1.458
Rolls-Royce - Sinfin,gas_boiler,2030,1.458
Rolls-Royce - Sinfin,gas_boiler,2031,1.4531
Rolls-Royce - Sinfin,gas_boiler,2032,1.4483
Rolls-Royce - Sinfin,gas_boiler,2033,1.4434
Rolls-Royce - Sinfin,gas_boiler,2034,1.4386
Rolls-Royce - Sinfin,gas_boiler,2035,1.4337
Rolls-Royce - Sinfin,gas_boiler,2036,1.4288
Encirc Limited,gas_boiler,2026,1.4472
Encirc Limited,gas_boiler,2027,1.4472
Encirc Limited,gas_boiler,2028,1.4472
Encirc Limited,gas_boiler,2029,1.4472
Encirc Limited,gas_boiler,2030,1.4472
Encirc Limited,gas_boiler,2031,1.4424
Encirc Limited,gas_boiler,2032,1.4376
Encirc Limited,gas_boiler,2033,1.4327
Encirc Limited,gas_boiler,2034,1.4279
Encirc Limited,gas_boiler,2035,1.4231
Encirc Limited,gas_boiler,2036,1.4183
Smurfit Westrock Townsend Hook,biomass_boiler,2026,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2027,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2028,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2029,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2030,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2031,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2032,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2033,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2034,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2035,0.0
Smurfit Westrock Townsend Hook,biomass_boiler,2036,0.0
Smurfit Westrock Townsend Hook,gas_boiler,2026,1.3521
Smurfit Westrock Townsend Hook,gas_boiler,2027,1.3521
Smurfit Westrock Townsend Hook,gas_boiler,2028,1.3521
Smurfit Westrock Townsend Hook,gas_boiler,2029,1.3521
Smurfit Westrock Townsend Hook,gas_boiler,2030,1.3521
Smurfit Westrock Townsend Hook,gas_boiler,2031,1.3476
Smurfit Westrock Townsend Hook,gas_boiler,2032,1.3431
Smurfit Westrock Townsend Hook,gas_boiler,2033,1.3385
Smurfit Westrock Townsend Hook,gas_boiler,2034,1.334
Smurfit Westrock Townsend Hook,gas_boiler,2035,1.3295
Smurfit Westrock Townsend Hook,gas_boiler,2036,1.325
Venator Materials UK Limited,gas_boiler,2026,1.3273
Venator Materials UK Limited,gas_boiler,2027,1.3273
Venator Materials UK Limited,gas_boiler,2028,1.3273
Venator Materials UK Limited,gas_boiler,2029,1.3273
Venator Materials UK Limited,gas_boiler,2030,1.3273
Venator Materials UK Limited,gas_boiler,2031,1.3229
Venator Materials UK Limited,gas_boiler,2032,1.3185
Venator Materials UK Limited,gas_boiler,2033,1.314
Venator Materials UK Limited,gas_boiler,2034,1.3096
Venator Materials UK Limited,gas_boiler,2035,1.3052
Venator Materials UK Limited,gas_boiler,2036,1.3008
Rockwool Bridgend,biomass_boiler,2026,0.0
Rockwool Bridgend,biomass_boiler,2027,0.0
Rockwool Bridgend,biomass_boiler,2028,0.0
Rockwool Bridgend,biomass_boiler,2029,0.0
Rockwool Bridgend,biomass_boiler,2030,0.0
Rockwool Bridgend,biomass_boiler,2031,0.0
Rockwool Bridgend,biomass_boiler,2032,0.0
Rockwool Bridgend,biomass_boiler,2033,0.0
Rockwool Bridgend,biomass_boiler,2034,0.0
Rockwool Bridgend,biomass_boiler,2035,0.0
Rockwool Bridgend,biomass_boiler,2036,0.0
Rockwool Bridgend,gas_boiler,2026,1.3268
Rockwool Bridgend,gas_boiler,2027,1.3268
Rockwool Bridgend,gas_boiler,2028,1.3268
Rockwool Bridgend,gas_boiler,2029,1.3268
Rockwool Bridgend,gas_boiler,2030,1.3268
Rockwool Bridgend,gas_boiler,2031,1.3224
Rockwool Bridgend,gas_boiler,2032,1.3179
Rockwool Bridgend,gas_boiler,2033,1.3135
Rockwool Bridgend,gas_boiler,2034,1.3091
Rockwool Bridgend,gas_boiler,2035,1.3047
Rockwool Bridgend,gas_boiler,2036,1.3002
Wigton Boiler Plant,biomass_boiler,2026,0.0
Wigton Boiler Plant,biomass_boiler,2027,0.0
Wigton Boiler Plant,biomass_boiler,2028,0.0
Wigton Boiler Plant,biomass_boiler,2029,0.0
Wigton Boiler Plant,biomass_boiler,2030,0.0
Wigton Boiler Plant,biomass_boiler,2031,0.0
Wigton Boiler Plant,biomass_boiler,2032,0.0
Wigton Boiler Plant,biomass_boiler,2033,0.0
Wigton Boiler Plant,biomass_boiler,2034,0.0
Wigton Boiler Plant,biomass_boiler,2035,0.0
Wigton Boiler Plant,biomass_boiler,2036,0.0
Wigton Boiler Plant,gas_boiler,2026,1.2441
Wigton Boiler Plant,gas_boiler,2027,1.2441
Wigton Boiler Plant,gas_boiler,2028,1.2441
Wigton Boiler Plant,gas_boiler,2029,1.2441
Wigton Boiler Plant,gas_boiler,2030,1.2441
Wigton Boiler Plant,gas_boiler,2031,1.2399
Wigton Boiler Plant,gas_boiler,2032,1.2358
Wigton Boiler Plant,gas_boiler,2033,1.2316
Wigton Boiler Plant,gas_boiler,2034,1.2275
Wigton Boiler Plant,gas_boiler,2035,1.2233
Wigton Boiler Plant,gas_boiler,2036,1.2192
Archer Daniels Midland Erith Ltd,biomass_boiler,2026,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2027,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2028,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2029,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2030,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2031,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2032,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2033,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2034,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2035,0.0001
Archer Daniels Midland Erith Ltd,biomass_boiler,2036,0.0001
Archer Daniels Midland Erith Ltd,gas_boiler,2026,1.1867
Archer Daniels Midland Erith Ltd,gas_boiler,2027,1.1867
Archer Daniels Midland Erith Ltd,gas_boiler,2028,1.1867
Archer Daniels Midland Erith Ltd,gas_boiler,2029,1.1867
Archer Daniels Midland Erith Ltd,gas_boiler,2030,1.1867
Archer Daniels Midland Erith Ltd,gas_boiler,2031,1.1828
Archer Daniels Midland Erith Ltd,gas_boiler,2032,1.1788
Archer Daniels Midland Erith Ltd,gas_boiler,2033,1.1749
Archer Daniels Midland Erith Ltd,gas_boiler,2034,1.1709
Archer Daniels Midland Erith Ltd,gas_boiler,2035,1.167
Archer Daniels Midland Erith Ltd,gas_boiler,2036,1.163
ETEX Building Performance Limited – Portbury Site,gas_boiler,2026,1.1832
ETEX Building Performance Limited – Portbury Site,gas_boiler,2027,1.1832
ETEX Building Performance Limited – Portbury Site,gas_boiler,2028,1.1832
ETEX Building Performance Limited – Portbury Site,gas_boiler,2029,1.1832
ETEX Building Performance Limited – Portbury Site,gas_boiler,2030,1.1832
ETEX Building Performance Limited – Portbury Site,gas_boiler,2031,1.1793
ETEX Building Performance Limited – Portbury Site,gas_boiler,2032,1.1753
ETEX Building Performance Limited – Portbury Site,gas_boiler,2033,1.1714
ETEX Building Performance Limited – Portbury Site,gas_boiler,2034,1.1674
ETEX Building Performance Limited – Portbury Site,gas_boiler,2035,1.1635
ETEX Building Performance Limited – Portbury Site,gas_boiler,2036,1.1595
Ardagh Glass Limited,biomass_boiler,2026,0.0
Ardagh Glass Limited,biomass_boiler,2027,0.0
Ardagh Glass Limited,biomass_boiler,2028,0.0
Ardagh Glass Limited,biomass_boiler,2029,0.0
Ardagh Glass Limited,biomass_boiler,2030,0.0
Ardagh Glass Limited,biomass_boiler,2031,0.0
Ardagh Glass Limited,biomass_boiler,2032,0.0
Ardagh Glass Limited,biomass_boiler,2033,0.0
Ardagh Glass Limited,biomass_boiler,2034,0.0
Ardagh Glass Limited,biomass_boiler,2035,0.0
Ardagh Glass Limited,biomass_boiler,2036,0.0
Ardagh Glass Limited,gas_boiler,2026,1.1767
Ardagh Glass Limited,gas_boiler,2027,1.1767
Ardagh Glass Limited,gas_boiler,2028,1.1767
Ardagh Glass Limited,gas_boiler,2029,1.1767
Ardagh Glass Limited,gas_boiler,2030,1.1767
Ardagh Glass Limited,gas_boiler,2031,1.1727
Ardagh Glass Limited,gas_boiler,2032,1.1688
Ardagh Glass Limited,gas_boiler,2033,1.1649
Ardagh Glass Limited,gas_boiler,2034,1.161
Ardagh Glass Limited,gas_boiler,2035,1.157
Ardagh Glass Limited,gas_boiler,2036,1.1531
The Girvan Distillery,biomass_boiler,2026,0.0
The Girvan Distillery,biomass_boiler,2027,0.0
The Girvan Distillery,biomass_boiler,2028,0.0
The Girvan Distillery,biomass_boiler,2029,0.0
The Girvan Distillery,biomass_boiler,2030,0.0
The Girvan Distillery,biomass_boiler,2031,0.0
The Girvan Distillery,biomass_boiler,2032,0.0
The Girvan Distillery,biomass_boiler,2033,0.0
The Girvan Distillery,biomass_boiler,2034,0.0
The Girvan Distillery,biomass_boiler,2035,0.0
The Girvan Distillery,biomass_boiler,2036,0.0
The Girvan Distillery,gas_boiler,2026,1.1749
The Girvan Distillery,gas_boiler,2027,1.1749
The Girvan Distillery,gas_boiler,2028,1.1749
The Girvan Distillery,gas_boiler,2029,1.1749
The Girvan Distillery,gas_boiler,2030,1.1749
The Girvan Distillery,gas_boiler,2031,1.1709
The Girvan Distillery,gas_boiler,2032,1.167
The Girvan Distillery,gas_boiler,2033,1.1631
The Girvan Distillery,gas_boiler,2034,1.1592
The Girvan Distillery,gas_boiler,2035,1.1553
The Girvan Distillery,gas_boiler,2036,1.1514
East Leake Gypsum Works,gas_boiler,2026,1.1717
East Leake Gypsum Works,gas_boiler,2027,1.1717
East Leake Gypsum Works,gas_boiler,2028,1.1717
East Leake Gypsum Works,gas_boiler,2029,1.1717
East Leake Gypsum Works,gas_boiler,2030,1.1717
East Leake Gypsum Works,gas_boiler,2031,1.1678
East Leake Gypsum Works,gas_boiler,2032,1.1639
East Leake Gypsum Works,gas_boiler,2033,1.16
East Leake Gypsum Works,gas_boiler,2034,1.1561
East Leake Gypsum Works,gas_boiler,2035,1.1522
East Leake Gypsum Works,gas_boiler,2036,1.1483
Smurfit Westrock SSK,biomass_boiler,2026,0.0001
Smurfit Westrock SSK,biomass_boiler,2027,0.0001
Smurfit Westrock SSK,biomass_boiler,2028,0.0001
Smurfit Westrock SSK,biomass_boiler,2029,0.0001
Smurfit Westrock SSK,biomass_boiler,2030,0.0001
Smurfit Westrock SSK,biomass_boiler,2031,0.0001
Smurfit Westrock SSK,biomass_boiler,2032,0.0001
Smurfit Westrock SSK,biomass_boiler,2033,0.0001
Smurfit Westrock SSK,biomass_boiler,2034,0.0001
Smurfit Westrock SSK,biomass_boiler,2035,0.0001
Smurfit Westrock SSK,biomass_boiler,2036,0.0001
Smurfit Westrock SSK,gas_boiler,2026,1.1002
Smurfit Westrock SSK,gas_boiler,2027,1.1002
Smurfit Westrock SSK,gas_boiler,2028,1.1002
Smurfit Westrock SSK,gas_boiler,2029,1.1002
Smurfit Westrock SSK,gas_boiler,2030,1.1002
Smurfit Westrock SSK,gas_boiler,2031,1.0966
Smurfit Westrock SSK,gas_boiler,2032,1.0929
Smurfit Westrock SSK,gas_boiler,2033,1.0892
Smurfit Westrock SSK,gas_boiler,2034,1.0856
Smurfit Westrock SSK,gas_boiler,2035,1.0819
Smurfit Westrock SSK,gas_boiler,2036,1.0782
O-I Glass Limited,gas_boiler,2026,1.0707
O-I Glass Limited,gas_boiler,2027,1.0707
O-I Glass Limited,gas_boiler,2028,1.0707
O-I Glass Limited,gas_boiler,2029,1.0707
O-I Glass Limited,gas_boiler,2030,1.0707
O-I Glass Limited,gas_boiler,2031,1.0671
O-I Glass Limited,gas_boiler,2032,1.0636
O-I Glass Limited,gas_boiler,2033,1.06
O-I Glass Limited,gas_boiler,2034,1.0564
O-I Glass Limited,gas_boiler,2035,1.0529
O-I Glass Limited,gas_boiler,2036,1.0493
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2026,1.0607
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2027,1.0607
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2028,1.0607
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2029,1.0607
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2030,1.0607
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2031,1.0572
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2032,1.0536
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2033,1.0501
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2034,1.0466
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2035,1.043
Winnington Sodium Carbonate Manufacturing Site,gas_boiler,2036,1.0395
Teesside Beam Mill,bof,2026,0.0314
Teesside Beam Mill,bof,2027,0.0302
Teesside Beam Mill,bof,2028,0.0289
Teesside Beam Mill,eaf,2027,0.0012
Teesside Beam Mill,eaf,2028,0.0025
Teesside Beam Mill,eaf,2029,0.0314
Teesside Beam Mill,eaf,2030,0.0314
Teesside Beam Mill,eaf,2031,0.0314
Teesside Beam Mill,eaf,2032,0.0314
Teesside Beam Mill,eaf,2033,0.0314
Teesside Beam Mill,eaf,2034,0.0314
Teesside Beam Mill,eaf,2035,0.0314
Teesside Beam Mill,eaf,2036,0.0314
DSM Dalry,biomass_boiler,2026,0.0
DSM Dalry,biomass_boiler,2027,0.0
DSM Dalry,biomass_boiler,2028,0.0
DSM Dalry,biomass_boiler,2029,0.0
DSM Dalry,biomass_boiler,2030,0.0
DSM Dalry,biomass_boiler,2031,0.0
DSM Dalry,biomass_boiler,2032,0.0
DSM Dalry,biomass_boiler,2033,0.0
DSM Dalry,biomass_boiler,2034,0.0
DSM Dalry,biomass_boiler,2035,0.0
DSM Dalry,biomass_boiler,2036,0.0
DSM Dalry,gas_boiler,2026,1.0191
DSM Dalry,gas_boiler,2027,1.0191
DSM Dalry,gas_boiler,2028,1.0191
DSM Dalry,gas_boiler,2029,1.0191
DSM Dalry,gas_boiler,2030,1.0191
DSM Dalry,gas_boiler,2031,1.0157
DSM Dalry,gas_boiler,2032,1.0123
DSM Dalry,gas_boiler,2033,1.0089
DSM Dalry,gas_boiler,2034,1.0055
DSM Dalry,gas_boiler,2035,1.0021
DSM Dalry,gas_boiler,2036,0.9987
Syngenta Limited,biomass_boiler,2026,0.0001
Syngenta Limited,biomass_boiler,2027,0.0001
Syngenta Limited,biomass_boiler,2028,0.0001
Syngenta Limited,biomass_boiler,2029,0.0001
Syngenta Limited,biomass_boiler,2030,0.0001
Syngenta Limited,biomass_boiler,2031,0.0001
Syngenta Limited,biomass_boiler,2032,0.0001
Syngenta Limited,biomass_boiler,2033,0.0001
Syngenta Limited,biomass_boiler,2034,0.0001
Syngenta Limited,biomass_boiler,2035,0.0001
Syngenta Limited,biomass_boiler,2036,0.0001
Syngenta Limited,gas_boiler,2026,0.989
Syngenta Limited,gas_boiler,2027,0.989
Syngenta Limited,gas_boiler,2028,0.989
Syngenta Limited,gas_boiler,2029,0.989
