year,value,source,retrieved,basis
2021,42379.1,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,outturn
2022,40593.0,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,outturn
2023,37730.5,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,outturn
2024,34345.8,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,outturn
2025,29323.5,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,outturn
