site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Kronospan Ltd,heat,mid,True,heat,2.4531,gas_boiler,2.7256,0.907,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Sellafield Site,heat,mid,True,heat,2.3511,gas_boiler,2.6124,0.918,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Grangemouth Refining,heat,mid,True,heat,2.3287,gas_boiler,2.5875,0.929,Grangemouth,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Dow Silicone Manufacturing Installation,heat,mid,True,heat,2.3092,gas_boiler,2.5658,0.94,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Pilkington United Kingdom Limited - Greengate,heat,mid,True,heat,2.309,gas_boiler,2.5656,0.951,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Tronox Pigment - CHP Plant,heat,mid,True,heat,2.2595,gas_boiler,2.5106,0.962,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ardagh Glass Ltd,heat,mid,True,heat,2.0975,gas_boiler,2.3305,0.973,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Shell UK Limited Fife NGL Plant,heat,mid,True,heat,2.0838,gas_boiler,2.3153,0.984,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Cargill - Trafford Park,heat,mid,True,heat,2.0488,gas_boiler,2.2765,0.995,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ardagh Glass - Wheatley,heat,mid,True,heat,1.9664,gas_boiler,2.1849,1.005,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ineos Acetyls Hull,heat,mid,True,heat,1.8978,gas_boiler,2.1086,1.016,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Selby Wheat Processing Facility,heat,mid,True,heat,1.8497,gas_boiler,2.0553,1.027,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Guardian Industries UK Limited,heat,mid,True,heat,1.7048,gas_boiler,1.8942,1.038,Humberside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
British Sugar plc - Newark,heat,mid,True,heat,1.6405,gas_boiler,1.8227,1.049,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Saint-Gobain Glass (United Kingdom) Limited,heat,mid,True,heat,1.6376,gas_boiler,1.8196,1.06,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Tate and Lyle Sugars,heat,mid,True,heat,1.5719,gas_boiler,1.7466,1.071,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Rolls-Royce - Sinfin,heat,mid,True,heat,1.458,gas_boiler,1.62,1.082,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Encirc Limited,heat,mid,True,heat,1.4472,gas_boiler,1.608,1.093,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Smurfit Westrock Townsend Hook,heat,mid,True,heat,1.3521,gas_boiler,1.5023,1.104,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Venator Materials UK Limited,heat,mid,True,heat,1.3273,gas_boiler,1.4748,1.115,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Rockwool Bridgend,heat,mid,True,heat,1.3268,gas_boiler,1.4742,1.125,South Wales,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Wigton Boiler Plant,heat,mid,True,heat,1.2441,gas_boiler,1.3823,1.136,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Archer Daniels Midland Erith Ltd,heat,mid,True,heat,1.1868,gas_boiler,1.3186,1.147,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
ETEX Building Performance Limited – Portbury Site,heat,mid,True,heat,1.1832,gas_boiler,1.3147,1.158,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Ardagh Glass Limited,heat,mid,True,heat,1.1767,gas_boiler,1.3074,1.169,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
The Girvan Distillery,heat,mid,True,heat,1.1749,gas_boiler,1.3054,1.18,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
East Leake Gypsum Works,heat,mid,True,heat,1.1717,gas_boiler,1.3019,1.191,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Smurfit Westrock SSK,heat,mid,True,heat,1.1003,gas_boiler,1.2225,1.202,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
O-I Glass Limited,heat,mid,True,heat,1.0707,gas_boiler,1.1897,1.213,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Winnington Sodium Carbonate Manufacturing Site,heat,mid,True,heat,1.0607,gas_boiler,1.1786,1.224,Merseyside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Teesside Beam Mill,steel,mid,True,steel,0.0314,bof,0.0349,1.235,Teesside,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
DSM Dalry,heat,mid,True,heat,1.0191,gas_boiler,1.1323,1.245,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Syngenta Limited,heat,mid,True,heat,0.9891,gas_boiler,1.0989,1.256,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Tata Steel Colors,steel,mid,True,steel,0.0281,bof,0.0312,1.267,Unmapped,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Norbord Cowie,heat,mid,True,heat,0.9136,gas_boiler,1.0151,1.278,Grangemouth,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Jaguar Land Rover Limited Solihull,heat,mid,True,heat,0.8912,gas_boiler,0.9902,1.289,Black Country,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Omega Proteins Limited,heat,mid,True,heat,0.8814,gas_boiler,0.9793,1.3,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Lochaber Smelter,heat,small,True,heat,0.872,gas_boiler,0.9689,0.91,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
Whittlesey,heat,small,True,heat,0.8516,gas_boiler,0.9463,0.936,Dispersed,ets_named,"UK ETS compliance report 2021-2025 (registry, pub 22 Jun 2026)",2026-08-16,derived
