site,sector,band,traded,commodity,demand_pj,incumbent_tech,start_capacity,inertia_factor,cluster,layer,source,retrieved,basis
Rawcliffe Bridge,heat,small,False,heat,0.3645,gas_boiler,0.405,1.2,Humberside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Queenborough,heat,small,False,heat,0.2272,gas_boiler,0.2524,1.527,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Craigavon,heat,small,False,heat,0.2557,gas_boiler,0.2841,1.4,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Hartlebury Factory,heat,small,False,heat,0.2312,gas_boiler,0.2569,1.509,Black Country,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Halewood,heat,small,False,heat,0.3301,gas_boiler,0.3668,1.246,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Duns,heat,small,False,heat,0.3253,gas_boiler,0.3614,1.264,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wilton Package boilers,heat,small,False,heat,0.1925,gas_boiler,0.2139,1.645,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Newcastle Upon Tyne,heat,small,False,heat,0.3042,gas_boiler,0.338,1.291,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Saddlebow Paper Mill,heat,mid,False,heat,2.5121,gas_boiler,2.7912,0.7,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wilton Teraphalic Acid/Melinar Plant,heat,small,False,heat,0.2652,gas_boiler,0.2947,1.373,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Cambuslang,heat,small,False,heat,0.2527,gas_boiler,0.2808,1.409,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Hythe,heat,small,False,heat,0.2444,gas_boiler,0.2716,1.229,Southampton,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Broomfleet Works,heat,small,False,heat,0.2613,gas_boiler,0.2903,1.382,Humberside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Stubbins Mill,heat,small,False,heat,0.245,gas_boiler,0.2722,1.427,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Davidstow Creamery,heat,small,False,heat,0.2986,gas_boiler,0.3318,1.3,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Jacobs Bakery,heat,small,False,heat,0.4515,gas_boiler,0.5017,1.1,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Slough Chocolate Factory,heat,small,False,heat,0.1964,gas_boiler,0.2183,1.627,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
"Llanelli, Carmarthenshire",steel,small,False,steel,0.0072,bof,0.008,1.472,South Wales,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.38 to 2025",2026-08-16,derived
North Tees Site,heat,small,False,heat,0.6172,gas_boiler,0.6858,1.01,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Burton Latimer,heat,small,False,heat,0.2848,gas_boiler,0.3164,1.345,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Overton Mill,heat,small,False,heat,0.33,gas_boiler,0.3666,1.255,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Caw House,heat,small,False,heat,0.2911,gas_boiler,0.3235,1.336,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Low Moor Chemical Works CLECKHEATON ROAD LOW MOOR WEST YORKSHIRE,heat,small,False,heat,0.3546,gas_boiler,0.394,1.227,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Austerfield Works,heat,small,False,heat,0.4275,gas_boiler,0.475,1.128,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Stoneywood Mill,heat,small,False,heat,0.381,gas_boiler,0.4233,1.173,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Bridgewater Diary,heat,small,False,heat,0.1841,gas_boiler,0.2045,1.672,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
"Hurdsfield Chp And Energy Centre, Silk Road Business Park",heat,small,False,heat,0.7147,gas_boiler,0.7941,0.955,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
South Wirral,heat,mid,False,heat,1.6417,gas_boiler,1.8242,0.841,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Coventry,heat,mid,False,heat,0.8879,gas_boiler,0.9865,1.3,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Bolton,heat,small,False,heat,0.2476,gas_boiler,0.2751,1.418,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Edmonton,heat,mid,False,heat,1.4724,gas_boiler,1.636,0.912,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Dudley,heat,small,False,heat,0.2325,gas_boiler,0.2584,1.5,Black Country,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wolverhampton,heat,small,False,heat,0.2969,gas_boiler,0.3299,1.327,Black Country,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Stoke-On-Trent,heat,small,False,heat,0.5598,gas_boiler,0.622,1.055,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Southampton,heat,small,False,heat,0.6367,gas_boiler,0.7075,0.992,Southampton,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Portsmouth,heat,small,False,heat,0.5776,gas_boiler,0.6418,1.037,Southampton,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Chineham,heat,small,False,heat,0.3137,gas_boiler,0.3486,1.282,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Sheffield,heat,small,False,heat,0.6946,gas_boiler,0.7718,0.964,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Belvedere,heat,mid,False,heat,2.4423,gas_boiler,2.7136,0.735,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Hythe (2),heat,mid,False,heat,0.933,gas_boiler,1.0366,1.229,Southampton,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Huddersfield,heat,small,False,heat,0.4028,gas_boiler,0.4475,1.155,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
SELCHP,heat,mid,False,heat,1.1923,gas_boiler,1.3247,1.053,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Tyseley,heat,mid,False,heat,1.0918,gas_boiler,1.2131,1.088,Black Country,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Eastcroft,heat,small,False,heat,0.5638,gas_boiler,0.6264,1.046,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Beckton STW,heat,small,False,heat,0.216,gas_boiler,0.24,1.572,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Middlesbrough,heat,small,False,heat,0.2249,gas_boiler,0.2498,1.536,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Allington Quarry,heat,mid,False,heat,1.5561,gas_boiler,1.729,0.876,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
"Deeside Industrial Estate, Deeside",heat,small,False,heat,0.5813,gas_boiler,0.6459,1.028,Merseyside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Newhaven EfW Plant,heat,small,False,heat,0.6378,gas_boiler,0.7087,0.983,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Redhill,heat,small,False,heat,0.2144,gas_boiler,0.2383,1.581,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Colnbrook,heat,mid,False,heat,1.256,gas_boiler,1.3955,0.982,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Lancing,heat,small,False,heat,0.1952,gas_boiler,0.2169,1.636,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Seal Sands High Temparature Incinerator,heat,small,False,heat,0.1807,gas_boiler,0.2008,1.681,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Ardley Landfill,heat,mid,False,heat,1.0327,gas_boiler,1.1474,1.159,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Exeter EfW,heat,small,False,heat,0.1909,gas_boiler,0.2121,1.654,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Ipswich,heat,mid,False,heat,0.8964,gas_boiler,0.996,1.265,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Battlefield EfW,heat,small,False,heat,0.2974,gas_boiler,0.3304,1.309,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Leeds RERF,heat,small,False,heat,0.5971,gas_boiler,0.6635,1.019,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Greatmoor EfW,heat,small,False,heat,0.8411,gas_boiler,0.9346,0.919,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Wilton 11 EfW Plant,heat,mid,False,heat,1.2703,gas_boiler,1.4115,0.947,Teesside,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Merevale AD Plant,heat,small,False,heat,0.3779,gas_boiler,0.4198,1.182,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Severnside Energy Recovery Centre,heat,mid,False,heat,1.2202,gas_boiler,1.3558,1.018,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Cornwall Energy Recovery Centre,heat,small,False,heat,0.7407,gas_boiler,0.823,0.946,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Mercia Envirecover Site,heat,small,False,heat,0.6429,gas_boiler,0.7143,0.973,Black Country,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Allerton Waste Recovery Park,heat,mid,False,heat,1.0606,gas_boiler,1.1784,1.124,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Stranglands Lane West Yorkshire,heat,mid,False,heat,1.9747,gas_boiler,2.1942,0.771,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Glasgow Recycling & Renewable Energy Centre,heat,small,False,heat,0.4842,gas_boiler,0.538,1.082,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Beddington ERF,heat,small,False,heat,0.7993,gas_boiler,0.8881,0.937,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
Kemsley Generating Station,heat,mid,False,heat,1.7133,gas_boiler,1.9037,0.806,Dispersed,nontraded_named,"NAEI point sources via COMIT template (2023 vintage, OGL) x0.85 to 2025",2026-08-16,derived
nontraded_tail_cement,cement,small,False,cement,0.0063,cement_kiln,0.007,1.3,Dispersed,nontraded_tail,"NAEI point sources via COMIT template (2023 vintage, OGL) (sub-10kt aggregate)",2026-08-16,derived
nontraded_tail_heat,heat,small,False,heat,13.6808,gas_boiler,15.2009,1.3,Dispersed,nontraded_tail,"NAEI point sources via COMIT template (2023 vintage, OGL) (sub-10kt aggregate)",2026-08-16,derived
nontraded_tail_steel,steel,small,False,steel,0.0013,bof,0.0014,1.3,Dispersed,nontraded_tail,"NAEI point sources via COMIT template (2023 vintage, OGL) (sub-10kt aggregate)",2026-08-16,derived
diffuse_industry,heat,small,False,heat,232.7646,gas_boiler,258.6273,1.3,Dispersed,diffuse,remainder to DESNZ 2024 territorial industry anchor (13% of 371 Mt ~48 Mt; -3% to 2025 = 46.5 Mt),2026-08-16,derived
